STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1415,ALL_RATE_1415,MAM_COHORT_1415,MAM_RATE_1415,MAS_COHORT_1415,MAS_RATE_1415,MBL_COHORT_1415,MBL_RATE_1415,MHI_COHORT_1415,MHI_RATE_1415,MTR_COHORT_1415,MTR_RATE_1415,MWH_COHORT_1415,MWH_RATE_1415,CWD_COHORT_1415,CWD_RATE_1415,ECD_COHORT_1415,ECD_RATE_1415,LEP_COHORT_1415,LEP_RATE_1415,DATE_CUR
UTAH,49,4900420,JORDAN DISTRICT,490042000289,BINGHAM HIGH,718,93,1,PS,25,GE80,8,GE50,58,80-89,31,GE90,595,94,43,70-79,73,85-89,5,PS,26NOV16
UTAH,49,4900420,JORDAN DISTRICT,490042000329,VALLEY HIGH SCHOOL,491,59,6,LT50,9,GE50,6,GE50,115,45-49,11,GE50,344,64,76,55-59,158,50-54,39,30-39,26NOV16
UTAH,49,4900420,JORDAN DISTRICT,490042000346,COPPER HILLS HIGH,820,92,2,PS,23,GE80,8,GE50,167,90-94,30,GE80,590,92,92,90-94,171,85-89,26,GE80,26NOV16
UTAH,49,4900420,JORDAN DISTRICT,490042000661,RIVERTON HIGH,649,94,1,PS,9,GE50,3,PS,42,GE90,9,GE50,585,95,66,80-84,69,90-94,.,.,26NOV16
UTAH,49,4900420,JORDAN DISTRICT,490042000769,WEST JORDAN HIGH,557,77,2,PS,23,GE80,6,GE50,134,70-74,13,GE50,379,79,67,60-64,200,65-69,27,40-59,26NOV16
UTAH,49,4900420,JORDAN DISTRICT,490042001338,HERRIMAN HIGH,727,92,4,PS,12,GE50,13,GE50,67,80-84,29,GE80,602,93,53,70-79,107,80-84,14,GE50,26NOV16
UTAH,49,4900450,JUAB DISTRICT,490045000334,JUAB HIGH,158,GE95,.,.,3,PS,.,.,2,PS,,,153,GE95,14,GE50,38,80-89,.,.,26NOV16
UTAH,49,4900480,KANE DISTRICT,490048000339,KANAB HIGH,47,GE90,.,.,1,PS,,,2,PS,,,44,GE90,7,GE50,16,GE80,.,.,26NOV16
UTAH,49,4900480,KANE DISTRICT,490048000341,VALLEY HIGH,22,GE80,.,.,.,.,.,.,,,,,22,GE80,4,PS,5,PS,.,.,26NOV16
UTAH,49,4900480,KANE DISTRICT,490048000954,LAKE POWELL HIGH SCHOOL,1,PS,.,.,.,.,.,.,.,.,,,1,PS,1,PS,,,.,.,26NOV16
UTAH,49,4900510,LOGAN CITY DISTRICT,490051000351,LOGAN HIGH,471,84,9,GE50,19,GE80,6,GE50,122,70-74,3,PS,312,89,43,70-79,193,80-84,25,60-79,26NOV16
UTAH,49,4900540,MILLARD DISTRICT,490054000356,DELTA HIGH,151,85-89,1,PS,2,PS,1,PS,17,60-79,5,PS,125,85-89,21,60-79,49,60-69,2,PS,26NOV16
UTAH,49,4900540,MILLARD DISTRICT,490054000361,MILLARD HIGH,89,90-94,1,PS,1,PS,.,.,15,GE50,1,PS,71,90-94,19,GE80,40,80-89,5,PS,26NOV16
UTAH,49,4900540,MILLARD DISTRICT,490054000746,ESKDALE HIGH,3,PS,.,.,.,.,.,.,.,.,,,3,PS,.,.,.,.,.,.,26NOV16
UTAH,49,4900570,MORGAN DISTRICT,490057000363,MORGAN HIGH,198,90-94,1,PS,3,PS,.,.,6,GE50,1,PS,187,90-94,15,GE50,23,GE80,.,.,26NOV16
UTAH,49,4900600,MURRAY DISTRICT,490060000374,MURRAY HIGH,484,81,5,PS,11,GE50,10,GE50,65,70-74,6,GE50,387,83,39,60-69,117,60-64,24,60-79,26NOV16
UTAH,49,4900630,NEBO DISTRICT,490063000387,LANDMARK HIGH,252,57,2,PS,1,PS,3,PS,62,50-54,2,PS,182,60-64,49,60-69,146,60-64,6,GE50,26NOV16
UTAH,49,4900630,NEBO DISTRICT,490063000390,PAYSON HIGH,382,93,5,PS,1,PS,.,.,48,80-89,5,PS,323,94,41,80-89,140,85-89,4,PS,26NOV16
UTAH,49,4900630,NEBO DISTRICT,490063000399,SPANISH FORK HIGH,362,96,.,.,8,GE50,2,PS,29,GE80,5,PS,318,96,39,GE90,78,90-94,2,PS,26NOV16
UTAH,49,4900630,NEBO DISTRICT,490063000402,SPRINGVILLE HIGH,449,94,3,PS,4,PS,2,PS,40,GE90,2,PS,398,94,32,60-69,97,90-94,5,PS,26NOV16
UTAH,49,4900630,NEBO DISTRICT,490063001159,MAPLE MOUNTAIN HIGH,397,95,4,PS,6,GE50,1,PS,30,GE80,1,PS,355,96,30,GE80,78,85-89,2,PS,26NOV16
UTAH,49,4900630,NEBO DISTRICT,490063001160,SALEM HILLS HIGH,433,94,7,GE50,,,1,PS,21,GE80,3,PS,401,94,34,70-79,98,GE95,2,PS,26NOV16
UTAH,49,4900660,NORTH SANPETE DISTRICT,490066000412,NORTH SANPETE HIGH,164,90-94,1,PS,1,PS,1,PS,10,GE50,1,PS,150,90-94,21,60-79,78,80-84,2,PS,26NOV16
UTAH,49,4900660,NORTH SANPETE DISTRICT,490066001431,NORTH SANPETE SPECIAL PURPOSE SCHOOL,42,30-39,.,.,.,.,.,.,19,40-59,2,PS,21,21-39,7,GE50,38,30-39,4,PS,26NOV16
UTAH,49,4900690,NORTH SUMMIT DISTRICT,490069000415,NORTH SUMMIT HIGH,63,GE95,.,.,.,.,.,.,7,GE50,1,PS,55,GE90,12,GE50,19,GE80,.,.,26NOV16
UTAH,49,4900720,OGDEN CITY DISTRICT,490072001265,GEORGE WASHINGTON HIGH,150,25-29,4,PS,3,PS,5,PS,52,20-29,5,PS,81,25-29,18,40-59,110,30-34,5,PS,26NOV16
UTAH,49,4900720,OGDEN CITY DISTRICT,490072001271,OGDEN HIGH,462,77,2,PS,4,PS,7,GE50,243,75-79,16,60-79,190,80-84,38,50-59,280,70-74,46,60-69,26NOV16
UTAH,49,4900720,OGDEN CITY DISTRICT,490072001281,BEN LOMOND HIGH,396,73,7,GE50,2,PS,7,GE50,206,70-74,13,GE50,161,75-79,35,40-49,296,70-74,29,40-59,26NOV16
UTAH,49,4900750,PARK CITY DISTRICT,490075000447,PARK CITY HIGH,391,95,1,PS,5,PS,2,PS,61,90-94,11,GE50,311,96,26,GE80,61,90-94,12,GE50,26NOV16
UTAH,49,4900780,PIUTE DISTRICT,490078000450,PIUTE HIGH,34,GE90,.,.,.,.,.,.,4,PS,,,30,GE80,2,PS,19,GE80,.,.,26NOV16
UTAH,49,4900810,PROVO DISTRICT,490081000459,PROVO HIGH,398,82,4,PS,12,GE50,3,PS,131,75-79,7,GE50,241,80-84,44,40-49,146,70-74,30,60-79,26NOV16
UTAH,49,4900810,PROVO DISTRICT,490081000466,TIMPVIEW HIGH,453,89,5,PS,33,GE90,6,GE50,82,75-79,10,GE50,317,91,43,60-69,115,75-79,29,60-79,26NOV16
UTAH,49,4900810,PROVO DISTRICT,490081000836,INDEPENDENCE HIGH,183,30-34,2,PS,7,GE50,9,LT50,80,30-34,2,PS,83,25-29,19,21-39,94,45-49,13,LT50,26NOV16
UTAH,49,4900810,PROVO DISTRICT,490081001349,ESCHOOL@PROVO SCHOOL DISTRICT,81,15-19,1,PS,,,.,.,9,LT50,1,PS,70,15-19,6,LT50,9,LT50,.,.,26NOV16
UTAH,49,4900840,RICH DISTRICT,490084000471,RICH HIGH,26,GE80,.,.,,,.,.,1,PS,,,25,GE80,2,PS,7,GE50,1,PS,26NOV16
UTAH,49,4900870,SALT LAKE DISTRICT,490087000486,EAST HIGH,423,81,7,GE50,50,70-79,19,40-59,162,80-84,5,PS,180,85-89,55,70-79,210,75-79,89,70-74,26NOV16
UTAH,49,4900870,SALT LAKE DISTRICT,490087000496,HIGHLAND HIGH,376,88,11,GE50,38,70-79,13,GE50,73,85-89,22,GE80,219,90-94,36,60-69,152,80-84,46,70-79,26NOV16
UTAH,49,4900870,SALT LAKE DISTRICT,490087000524,WEST HIGH,495,80,6,GE50,61,85-89,21,60-79,190,80-84,22,60-79,195,75-79,45,70-79,258,75-79,82,70-74,26NOV16
UTAH,49,4900870,SALT LAKE DISTRICT,490087000732,HORIZONTE INSTR & TRN CTR,447,46,14,GE50,41,80-89,19,40-59,252,40-44,10,GE50,111,35-39,51,50-59,356,48,106,35-39,26NOV16
UTAH,49,4900870,SALT LAKE DISTRICT,490087001422,INNOVATIONS HIGH SCHOOL,107,75-79,1,PS,2,PS,5,PS,19,60-79,4,PS,76,70-74,6,GE50,35,70-79,9,GE50,26NOV16
UTAH,49,4900900,SAN JUAN DISTRICT,490090000491,NAVAJO MOUNTAIN HIGH,10,GE50,10,GE50,.,.,.,.,.,.,,,.,.,,,9,GE50,.,.,26NOV16
UTAH,49,4900900,SAN JUAN DISTRICT,490090000535,MONTICELLO HIGH,46,80-89,1,PS,.,.,.,.,5,PS,1,PS,39,80-89,6,GE50,40,GE90,1,PS,26NOV16
UTAH,49,4900900,SAN JUAN DISTRICT,490090000537,SAN JUAN HIGH,105,85-89,35,70-79,2,PS,.,.,4,PS,1,PS,63,GE95,14,GE50,102,90-94,3,PS,26NOV16
UTAH,49,4900900,SAN JUAN DISTRICT,490090000667,WHITEHORSE HIGH,47,70-79,47,70-79,.,.,.,.,.,.,,,.,.,10,GE50,47,70-79,8,GE50,26NOV16
UTAH,49,4900900,SAN JUAN DISTRICT,490090000802,MONUMENT VALLEY HIGH,39,80-89,39,80-89,.,.,.,.,.,.,,,.,.,5,PS,39,80-89,12,GE50,26NOV16
UTAH,49,4900930,SEVIER DISTRICT,490093000542,NORTH SEVIER HIGH,69,90-94,.,.,1,PS,.,.,4,PS,,,64,90-94,9,GE50,22,GE80,.,.,26NOV16
UTAH,49,4900930,SEVIER DISTRICT,490093000544,RICHFIELD HIGH,166,90-94,15,GE50,2,PS,1,PS,9,GE50,,,139,90-94,22,60-79,66,85-89,4,PS,26NOV16
UTAH,49,4900930,SEVIER DISTRICT,490093000547,SOUTH SEVIER HIGH,96,90-94,10,GE50,2,PS,1,PS,3,PS,,,80,90-94,10,GE50,40,80-89,1,PS,26NOV16
UTAH,49,4900930,SEVIER DISTRICT,490093000900,CEDAR RIDGE HIGH,71,30-34,1,PS,1,PS,.,.,8,LT50,,,61,30-34,5,PS,36,20-29,1,PS,26NOV16
