STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ARIZONA,04,0400845,LEAD Charter Schools,040084503242,Leading Edge Academy Queen Creek,1,PS,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400845,LEAD Charter Schools,040084503338,Leading Edge Academy San Tan,2,PS,.,.,.,.,.,.,.,.,.,.,2,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400858,University Public Schools  Inc.,040085803286,ASU Preparatory Academy- Phoenix High School,2,PS,.,.,.,.,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400862,Collaborative Pathways  Inc.,040086201783,Arizona College Prep Academy,31,GE90,.,.,3,PS,1,PS,14,GE50,.,.,13,GE50,1,PS,18,GE80,.,.,30AUG15,29AUG15
ARIZONA,04,0400878,BASIS School  Inc.,040087803350,BASIS Tucson North,45,GE90,1,PS,9,GE50,4,PS,8,GE50,.,.,23,GE80,1,PS,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400880,Southwest Leadership Academy,040088003398,Southwest Leadership Academy,66,6-9,.,.,.,.,4,PS,53,LE10,.,.,9,LT50,5,PS,64,6-9,4,PS,30AUG15,29AUG15
ARIZONA,04,0400904,Edkey  Inc. - Sequoia Pathway Academy,040090403048,Sequoia Pathway Academy,37,70-79,.,.,1,PS,4,PS,4,PS,.,.,28,60-79,5,PS,1,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400910,Ash Fork Joint Unified District,040091000048,Ash Fork High School,11,GE50,.,.,.,.,.,.,5,PS,.,.,6,GE50,2,PS,11,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0401000,Bagdad Unified District,040100000053,Bagdad High School,32,GE90,2,PS,.,.,.,.,10,GE50,.,.,20,GE80,2,PS,12,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0401160,Bicentennial Union High School District,040116000062,Salome High School,26,GE80,1,PS,.,.,.,.,11,GE50,.,.,14,GE50,8,GE50,25,GE80,.,.,30AUG15,29AUG15
ARIZONA,04,0401180,Bisbee Unified District,040118000063,Bisbee High School,86,70-74,1,PS,1,PS,3,PS,47,70-79,.,.,33,60-69,9,GE50,47,60-69,1,PS,30AUG15,29AUG15
ARIZONA,04,0401230,Blue Elementary District,040123000069,Blue Elementary School,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0401330,Bowie Unified District,040133000073,Bowie High School,7,LT50,.,.,.,.,.,.,5,PS,.,.,2,PS,1,PS,2,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0401410,Buckeye Union High School District,040141000075,Buckeye Union High School,282,90,1,PS,4,PS,20,GE80,134,85-89,.,.,121,90-94,29,GE80,178,90-94,5,PS,30AUG15,29AUG15
ARIZONA,04,0401410,Buckeye Union High School District,040141002137,Estrella Foothills High School,222,87,1,PS,5,PS,15,GE50,70,80-84,.,.,131,85-89,20,GE80,60,70-79,1,PS,30AUG15,29AUG15
ARIZONA,04,0401410,Buckeye Union High School District,040141002786,Youngker High School,378,85,7,GE50,5,PS,43,80-89,183,80-84,.,.,139,85-89,36,80-89,215,85-89,1,PS,30AUG15,29AUG15
ARIZONA,04,0401410,Buckeye Union High School District,040141003320,BUHSD Institute of Online Learning,4,PS,.,.,.,.,.,.,.,.,.,.,4,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0401460,Sierra Vista Unified District,040146000081,Buena High School,504,86,4,PS,20,GE80,56,80-89,139,80-84,.,.,262,85-89,54,60-69,129,70-74,2,PS,30AUG15,29AUG15
ARIZONA,04,0401600,Camp Verde Unified District,040160000087,Camp Verde High School,88,90-94,5,PS,.,.,.,.,22,GE80,.,.,59,GE90,16,GE80,45,80-89,2,PS,30AUG15,29AUG15
ARIZONA,04,0401740,Casa Grande Union High School District,040174000113,Casa Grande Union High School,279,82,17,40-59,6,GE50,11,GE50,130,85-89,.,.,109,80-84,45,30-39,123,70-74,3,PS,30AUG15,29AUG15
ARIZONA,04,0401740,Casa Grande Union High School District,040174001629,Desert Winds High School,158,LE5,24,LE20,1,PS,10,LT50,90,6-9,.,.,31,LE10,4,PS,98,6-9,1,PS,30AUG15,29AUG15
ARIZONA,04,0401740,Casa Grande Union High School District,040174002214,Casa Verde High School,29,60-79,1,PS,1,PS,2,PS,8,GE50,.,.,16,GE80,1,PS,13,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0401740,Casa Grande Union High School District,040174002909,Vista Grande High School,361,91,10,GE50,7,GE50,20,GE80,222,90-94,.,.,98,90-94,45,60-69,211,90-94,1,PS,30AUG15,29AUG15
ARIZONA,04,0401760,Catalina Foothills Unified District,040176000011,Catalina Foothills High School,422,94,1,PS,35,GE90,5,PS,75,85-89,.,.,293,GE95,38,80-89,1,PS,1,PS,30AUG15,29AUG15
ARIZONA,04,0401810,Cedar Unified District,040181002544,White Cone High School,6,LT50,6,LT50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30AUG15,29AUG15
